Название,Артикул,Цена,Бренд,Категория,Описание,Картинки,Ссылка на товар
Hermes Ambre Narguile  100 ml LUXE,Качество LUXE Hermes Ambre Narguile  100 ml LUXE,2724,Hermes,Женская парфюмерия,"Свобода, страсть и фантазия в пряной парфюмерной композиции для мужчин и женщин Hermes Hermessence Ambre Narguile. Золотой сироп из стираксового дерева, ванили и лабданума соединяется со сладкими ароматами меда и карамели. Сладко-острый аромат окутан дымкой кумарина, запахом орхидеи и табака. С древесным ароматом  Hermes Hermessence Ambre Narguile (Гермес. Гермессенс. Янтарный кальян) мужчина почувствует себя победителем, а женщина обворожительной соблазнительницей. Прекрасный аромат таит в себе некую загадку, перед которой невозможно устоять. Парфюм Hermes Hermessence Ambre Narguile был создан в 2004 году Жан Клодом Эллена.",https://ik.imagekit.io/q6gbfd9lb/indexuyoyy.800x600w.jpg_33e992a509b6d26a86681c3562697b9d.jpg,http://parfume-opt.ru/products/ambre_narguile_100_ml_luxe
THOMAS KOSMALA No 5 Frenesie  100 ml  LUXE,Селективная (нишевая) парфюмерия THOMAS KOSMALA No 5 Frenesie  100 ml  LUXE,2952,THOMAS KOSMALA,Женская парфюмерия,"No 5 Frenesie — элитная парфюмерная вода с восточно-древесным ароматом для женщин и мужчин, выпущенная в 2018 году французским парфюмерным брендом Thomas Kosmala. Роскошный, глубокий и философский парфюм посвящен аромату уда, который выступает в композиции мягко и деликатно, не с «суровым, горловым скрежетом», а в тонкой пудровой туманной дымке восточных нот, изысканного цветочного букета и чувственной замши.Аромат ярко стартует свежими цитрусовыми аккордами зеленого бергамота, утонченной экзотичной магнолии и пряного солнечного запаха драгоценного шафрана, которые переплетаются в «сердце» композиции с роскошным цветочным букетом «абрикосового» османтуса, пьянящей бархатисто-пряной медовой розы, сладкого волнующего пиона и легкой воздушной, дурманящей гардении. Глубокий и чувственный шлейф аромата мягко звучит дымными теплыми оттенками эфирного масла древесины уда, древесно-бальзамическими акцентами ладана, волнующим мускусом и утонченными акцентами амбры.",https://ik.imagekit.io/q6gbfd9lb/index_3B_3Blljlj.800x600w.jpg_48d0b4af6960bb78e6224ac0ce519f62.jpg,http://parfume-opt.ru/products/no_5_frenesie_100_ml_luxe
Narciso Rodriguez  For Her Eau de Toilette Limited Edition 100 ml LUXE,новинки парфюмерии 2021-2022 Narciso Rodriguez  For Her Eau de Toilette Limited Edition 100 ml LUXE,2616,Narciso Rodriguez,Женская парфюмерия,"Narciso Rodriguez For Her Eau de Toilette Limited Edition 2022 Eau de Toilette Narciso Rodriguez, выпущенный в 2022 году, классифицируется как аромат для женщин и принадлежит семействам Мускусные и Цветочные. Над ним работали Кристин Нажель и Франсис Кюркджян. Narciso Rodriguez For Her Eau de Toilette Limited Edition 2022 Eau de Toilette входит в коллекцию Narciso Rodriguez For Her. Narciso Rodriguez For Her Eau de Toilette Limited Edition 2022 Eau de Toilette Narciso Rodriguez, выпущенный в 2022 году, классифицируется как аромат для женщин и принадлежит семействам Мускусные и Цветочные. Над ним работали Кристин Нажель и Франсис Кюркджян. Narciso Rodriguez For Her Eau de Toilette Limited Edition 2022 Eau de Toilette входит в коллекцию Narciso Rodriguez For Her. https://aromo.ru/fragrance/narciso-rodriguez-narciso-rodriguez-for-her-eau-de-toilette-limited-edition-2022-toilet-water-eau-de-toilette-2416835/",https://ik.imagekit.io/q6gbfd9lb/indexlf_3Blfhlf_3B.800x600w.jpg_a2bfda425d921c0cce78b9feabc2a051.jpg,http://parfume-opt.ru/products/_for_her_eau_de_toilette_limited_edition_100_ml_luxe
Maison Francis Kurkdjian Paris Gentle Fluidity Gold 70 ml LUXE,Селективная (нишевая) парфюмерия Maison Francis Kurkdjian Paris Gentle Fluidity Gold 70 ml LUXE,2820,Maison Francis Kurkdjian Paris,Женская парфюмерия,"Gentle Fluidity Gold — оригинальный, стильный и самобытный восточно-мускусный унисекс-парфюм, выпущенный в 2019 году под маркой французского нишевого парфюмерного бренда Francis Kurkdjian. Аромат является парным к парфюму Gentle Fluidity Silver. Оба аромата имеют одинаковый состав: ягоды можжевельника, мускатный орех, кориандр, мускус, амброксан и ваниль. Парфюмер Фрэнсис Куркджян, варьируя соотношения ингредиентов, создал две абсолютно разные по звучанию ароматические композиции. В щедром, обволакивающем аромате особенно мягко и гармонично звучит пряно-специвый запах кориандра, пряно-хвойные оттеки можжевельника, волна нежнейшего белого мускуса  и утонченная сладость ванили. Пряная нота семян кориандра в сочетании с мускусом приносит эфирный объем и длительный ароматический шлейф. Тогда как в базе композиции успокаивающие гурманские ноты ванили, усиленные амброво-древесным аккордом, раскрывают сияющий, яркий силуэт уникального аромата.",https://ik.imagekit.io/q6gbfd9lb/indexfkhphpr.800x600w.jpg_617e96b5c0ed3413dcc1068ebe3ffb1f.jpg,http://parfume-opt.ru/products/gentle_fluidity_gold_70_ml_luxe
Paco Rabanne Pure XS For Her  80 ml LUXE,Качество LUXE Paco Rabanne Pure XS For Her  80 ml LUXE,2520,Paco Rabanne,Женская парфюмерия,"Pure XS For Her — элитная туалетная вода с восточно- цветочным гурманским ароматом для женщин, созданная в 2017 году модным испанским нишевым парфюмерным брендом Paco Rabanne. Роскошный женский аромат Paco Rabanne Pure XS For Her – яркий дерзкий притягательный парфюм, который является парной композицией к мужскому аромату Paco Rabanne Pure XS For Homme и обладает таким же провокационным страстным характером.Стильная современная, лаконичная и идеально сбалансированная композиция парфюма сплетена из чувственных оттенков белых нежных цветков иланг-иланга (природного афродизиака), теплых пряных «взрывчатых» аккордов попкорна и мягких восточных пудровых нот сладкой соблазнительной ванили.",https://ik.imagekit.io/q6gbfd9lb/indexlnhkg_3Bll.800x600w.jpg_c177c443eb70e932900892ba22a533b1.jpg,http://parfume-opt.ru/products/pure_xs_for_her_80_ml_luxe
Tiziana Terenzi Chimaera  Extrait de Parfum 100 ml LUXE,Селективная (нишевая) парфюмерия Tiziana Terenzi Chimaera  Extrait de Parfum 100 ml LUXE,6240,Tiziana Terenzi,Женская парфюмерия,"Духи Chimaera, выпускаемые с 2014 лимитированными партиями, в выпуске 2022 года -пряные, умеренно сладкие, холодные, Chimaera 2022 очаровывает разнообразием восточных и древесных тонов, в ней мягко и очень благородно звучат табачные и нежные цветочные аккорды.Несмотря на неизменную рецептуру, каждый год аромат получает утонченное прикосновение природы, творение парфюмера становится неповторимым. Благодаря различным урожаям натуральных ингредиентов каждый год аромат имеет уникальное звучание, превращаясь в предмет коллекционирования. Выпуски разных годов этого аромата раскрываются на коже неповторимо, со своими особенностями. Гора Химера в Турции знаменательна естественными выходами на поверхность природного газа, на ней еще с античных времён можно было наблюдать вспышки. Это место было упомянуто Гомером в «Илиаде». По легенде герой Беллерофонт сразил чудовище Химеру и сбросил её внутрь горы Олимп. Пламенный язык огнедышащего чудища до сих пор виден на вершине горы.",https://ik.imagekit.io/q6gbfd9lb/index_D0_B6_D0_BBkglfkhlkfh.800x600w.jpg_5b7c11cf3f8be522def6293a2edf1b41.jpg,http://parfume-opt.ru/products/chimaera_extrait_de_parfum_100_ml_luxe
Guerlain La Petite Robe Noire EDP 100 ml LUXE,Качество LUXE Guerlain La Petite Robe Noire EDP 100 ml LUXE,2436,Guerlain,Женская парфюмерия,"Легкий, кокетливый, сексуальный и соблазнительный аромат Guerlain La Petite Robe Noire. Словно брызги шампанского, он блистательный и яркий. Как миндальное печенье со вкусом варенья из розы, он хрустит и тает. Маленькое черное платье всегда было изящным, элегантным атрибутом истинной, прекрасной женщины. Оно струится по фигуре, подчеркивая очаровательный, женственный силуэт, соблазняя плавными линиями.Фруктовый парфюм создан в 2012 году талантливым парфюмером Терри Вассером.  Среди компонентов аромата – необыкновенный, чувственный лакричник, который входит также в композицию Guerlain Aqua Allegoria Laurier Reglisse. Аромат Guerlain La Petite Robe Noire (Герлен. Маленькое черное платье) ассоциируется с непревзойденной Коко Шанель, которая представила всему миру эту элегантную часть женского гардероба.Надев черное платьице, дополнив образ изысканными аксессуарами и восхитительным, элегантным ароматом, женщина всегда будет на высоте. Красивый и динамичный аромат включает такие нотки как миндаль, вишню, бергамот, красные ягоды. Чай, роза и лакричник – ноты сердца. Базовые аккорды – анис, Тонка бобы, ваниль, ирис и пачули.",https://ik.imagekit.io/q6gbfd9lb/indexLHLLH.800x600w.jpg_50b63df26a490e9375f040785e5c27fe.jpg,http://parfume-opt.ru/products/la_petite_robe_noire_edp_100_ml_luxe
Maison Francis Kurkdjian Paris Baccarat Rouge 540 Extrait De Parfum 35 ml LUXE,Селективная (нишевая) парфюмерия Maison Francis Kurkdjian Paris Baccarat Rouge 540 Extrait De Parfum 35 ml LUXE,2208,Maison Francis Kurkdjian Paris,Женская парфюмерия,"Baccarat Rouge 540 Extrait De Parfum – элитные духи  с восточно-цветочным ароматом для женщин и мужчин, созданные  в 2017 году знаменитым парфюмером Френсисом Куркиджаном для французского парфюмерного бренда Francis Kurkdjian. Совершенный чарующий аромат Baccarat Rouge 540 Extrait De Parfum для современных женщин – гурманов нишевой парфюмерии, насыщен драгоценными эфирными маслами высочайшего качества, который  струится изысканными оттенками белых цветов и свежих сочных фруктов,  прекрасно освежая и ярко оттеняя образ успешной и гламурной модной  женщины.Интенсивный страстный парфюм открывается изящными зелеными ореховыми оттенками горького миндаля и пряными восточными специевыми нотами теплого солнечного шафрана, которые плавно смешиваются с древесными смолистыми сливочно-хвойными оттенками белого кедра и изысканными  цветочными  нотами  белых нежных лепестков жасмина, насыщающих «сердце» ароматической композиции. Чувственный мускусный шлейф парфюма Francis Kurkdjian Baccarat Rouge 540 Extrait De Parfum гармонично дополнен терпкими древесными нотами и тонким запахом амбры, который придает всей композиции  акцент свежего соленого морского воздуха.",https://ik.imagekit.io/q6gbfd9lb/indexFG_3BFL.800x600w.jpg_5108fe612ad9863c8f9945d409735451.jpg,http://parfume-opt.ru/products/baccarat_rouge_540_extrait_de_parfum_35_ml_luxe
Dolce&Gabbana The One Gold 100 ml LUXE,новинки парфюмерии 2021-2022 Dolce&Gabbana The One Gold 100 ml LUXE,2520,Dolce&Gabbana,Женская парфюмерия,"Dolce & Gabbana The One Gold — очаровательный и неповторимый женский цветочно-фруктовый аромат, выпущенный в 2021 году брендом Dolce & Gabbana в рамках парфюмерного дуэта для нее и для него. Парфюмы дуэта являются фланкерами выпускавшегося ранее дуэта The One. В новой версии парфюмы получили более интенсивное звучание и золотое одеяние.Дизайн флакона с квадратными графическими линиями и тяжелым основанием выражает уникальность женщины. Металлический лак, символ роскоши и изысканности, отражает яркий свет, воплощая ваше сияющее очарование. А золотое кольцо привносит в дизайн дополнительный стильный штрих.В верхнем аккорде парфюма The One Gold цитрусовая свежесть итальянского мандарина соединяется с запахом медовой сливы и пряного розового перца. В сердце композиции царит яркий букет цветочных нот романтичной розы, пьянящего жасмина и душистого ландыша. А завершает звучание парфюма Dolce & Gabbana The One Gold теплая, чуть землистая пряность листьев пачули, нежная сладость ванили и упоительный белый мускус.",https://ik.imagekit.io/q6gbfd9lb/_2CDG_3BLL_2C_2C_3BLB_3BL.800x600w.jpg_2e1d3f33a9caca23a6fbf42f039ab31b.jpg,http://parfume-opt.ru/products/the_one_gold_100_ml_luxe
Tiziana Terenzi Gumin 2022 Extrait de Parfum  100 ml LUXE,новинки парфюмерии 2021-2022 Tiziana Terenzi Gumin 2022 Extrait de Parfum  100 ml LUXE,6240,Tiziana Terenzi,Женская парфюмерия,"Духи Gumin ежегодно выпускаются лимитированными партиями с 2016 года.Духи Gumin увидевшие свет в 2022 году, обладают энергичным, дерзким характером, насыщены цитрусами. Мандарин и бергамот, смешанные с сицилийским апельсином, окружают свежестью узнаваемый классический аккорд композиции, намекая на то, что красота происходит не из модных трендов, а рождается стилем. Цитрусовые ноты поддерживаются аккордом фруктовых акцентов ананаса и сладких цветов жасмина, фиалки и розы, отраженных в мощном контрапункте амбры. Композиция изящно подчеркивается нотами благородной древесины и мускуса.Gumin 2022 отличается от релиза 2021 более свежим и холодным открытием цитрусов и более деликатным древесно-мускусным акцентом. Несмотря на неизменную рецептуру, каждый год аромат получает утонченное прикосновение природы, творение парфюмера становится неповторимым. Благодаря различным урожаям натуральных ингредиентов каждый год аромат имеет уникальное звучание, превращаясь в предмет коллекционирования.",https://ik.imagekit.io/q6gbfd9lb/indexKOPTPKGR.800x600w.jpg_f818908692cc1a82c73b44fac0b280f2.jpg,http://parfume-opt.ru/products/gumin_2022_extrait_de_parfum_100_ml_luxe
Yves Saint Laurent Blouse  75 ml LUXE,Качество LUXE Yves Saint Laurent Blouse  75 ml LUXE,2748,Yves Saint Laurent,Женская парфюмерия,"YSL Blouse – элитная парфюмерная вода с цветочным ароматом для женщин, созданная в 2018 году знаменитым модным домом YSL. Неординарный элегантный аромат Blouse (Блузка) - продолжение удивительной коллекции Vestiaire des Parfums, которая является обонятельной интерпритацией модных предметов гардероба бренда.Новый аромат, посвященный изысканности и изяществу  полупрозрачной  женской блузки, открывается свежими чистыми нотами бергамота, нежного розового перца и свежего зеленого древесно-бальзамического запаха гальбанума. «Сердце» композиции наполнено страстным нежным ароматом бархатисто-медовой Дамасской розы. Ненавязчивый теплый шлейф парфюма мягко струится чувственными мускусными оттенками, древесными нотами экзотического кашмерана и пряно –земляным перечным аккордом ангелики.",https://ik.imagekit.io/q6gbfd9lb/indexPOYPRO.800x600w.jpg_09385b27c8a9361fb2727ca34c8b1933.jpg,http://parfume-opt.ru/products/blouse_75_ml_luxe_
Yves Saint Laurent Grain de Poudre   75 ml LUXE,Качество LUXE Yves Saint Laurent Grain de Poudre   75 ml LUXE,2748,Yves Saint Laurent,Женская парфюмерия,"Наступивший 2019 год принес миру долгожданное пополнение парфюмерной коллекции культового бренда Yves Saint Laurent. Французская марка подарила поклонникам обоих полов свою очередную ольфакторную фантазию с брутальным кожаным характером и назвала ее Yves Saint Laurent Grain de Poudre. Дерзкая и харизматичная композиция стала продолжением новой коллекции одежды бренда и посвящена уникальной и весьма дорогой ткани Grain de Poudre - шерстяному полотну с вкраплениями натуральной ангоры. Из этой редкой материи шьются изысканные смокинги и костюмы для настоящих благородных джентльменов. Свое второе рождение ткань получила благодаря гениальному создателю марки - талантливому Иву Сен Лорану, а парфюмеры компании воплотили ее характер в своей ароматической композиции. Ответственная миссия создателя картины была доверена молодому и подающему огромные надежды парфюмеру Quentin Bisch, чьи работы в мгновение ока становятся невероятно востребованными во всем мире. Главным действующим лицом в этой симфонии был выбран нежный цветочный запах фиалки, символизирующий женское начало. Противоположностью ей стал густой анималистичный запах чувственной замши, согретый чувственными лучами восточного мускуса. Прозрачный и слегка сладковатый запах цветущего шалфея смотрится невероятно нежно в окружении драгоценной пряной дымки из кориандра и черного перца. Эпатажный, на первый взгляд, парфюм Yves Saint Laurent Grain de Poudre в реальности оказывается невероятно гармоничным и целостным, как и его роскошный владелец.",https://ik.imagekit.io/q6gbfd9lb/indexDFADQD.800x600w.jpg_7a0cd7844e15a7013a82cf4e9cda3973.jpg,http://parfume-opt.ru/products/grain_de_poudre_75_ml_luxe
Yves Saint Laurent Tuxedo  75 ml LUXE,Качество LUXE Yves Saint Laurent Tuxedo  75 ml LUXE,2748,Yves Saint Laurent,Женская парфюмерия,"Осенью 2015 года модный бренд YSL выпустил парфюмерную коллекцию Le Vestiaire. В роскошную линейку вошли 5 унисексовых композиций, вдохновленные культовыми предметами гардероба, созданными гениальным Yves Saint Laurent.Древесный пряный Tuxedo посвящен смокингу. До Ив Сен Лорана этот вечерний наряд считался исключительно мужским. Но в 1966 году дизайнер представил в талантливой фотосессии Vogue женский смокинг, и мир моды перевернулся. Революционное творение дома YSL зачаровало сердца модниц во всем мире, от капризных парижанок до звезд кинематографа. Пикантные переливы драгоценных пряностей в элегантном YSL Tuxedo красиво обыгрывают изысканную сухость пачули, создавая соблазнительное и утонченное звучание.Композиция: пачули, специи.",https://ik.imagekit.io/q6gbfd9lb/PWOPEPO.800x600w.jpg_c2646b29d21bc7de7ad365d04751b693.jpg,http://parfume-opt.ru/products/tuxedo_75_ml_luxe_
